Course Name,County,Province,Played ?,lat,lon
Abbeyleix Golf Club,Laois,Leinster,,52.9217751,-7.338219
Ardglass Golf Club,Down,Ulster,,54.2530557,-5.6082647
Athenry Golf Club,Galway,Connacht,,53.286004,-8.846698
Achill Island Golf Club,Mayo,Connacht,,53.972955,-10.0633491
Ardminnan Golf Club,Donegal,Ulster,,54.6537924,-8.1102616
Athlone Golf Club,Westmeath,Leinster,,53.4228434,-7.9425897
Adare Golf Club,Limerick,Munster,,52.5704929,-8.7790615
Arklow Golf Club,Wicklow,Leinster,,52.798221,-6.1540035
Athy Golf Club,Kildare,Leinster,,53.006644,-6.9594304
Allen Park Golf Centre,Kildare,Leinster,,53.1568465,-6.9117199
Ashbourne Golf Club,Meath,Leinster,,53.5033871,-6.3784344
Aughnacloy Golf Club,Tyrone,Ulster,,54.4147918,-6.9762879
Ardeer Golf Club,Antrim,Ulster,,54.715139,-6.2192038
Ashfield,Donegal,Ulster,,54.6537924,-8.1102616
Ardfert Golf Club,Kerry,Munster,,52.327242,-9.7809541
Ashford Castle Golf Club,Mayo,Connacht,,53.5344314,-9.2845995
Balbriggan Golf Club,Dublin,Leinster,,53.5958342,-6.1825834
Ballyliffin - The Old Links,Donegal,Ulster,,55.2811,-7.3756
Birr Golf Club,Offaly,Leinster,,53.1289455,-7.9084625
Balcarrick Golf Club,Dublin,Leinster,,53.4749405,-6.1342621
Ballymena Golf Club,Antrim,Ulster,,54.8836356,-6.229056
Blackbush - Blackbush Course,Meath,Leinster,,53.6497514,-6.5884245
Ballaghderreen Golf Club,Roscommon,Connacht,,53.6312446,-8.19068
Ballymoney Golf Club,Antrim,Ulster,,55.0702727,-6.5172758
Blackbush - Lagore Course,Meath,Leinster,,53.6497514,-6.5884245
Ballina Golf Club,Mayo,Connacht,,54.1153,-9.1568
Ballymote Golf Club,Sligo,Connacht,,54.0885294,-8.5155338
Blackbush - Thomaston Course,Meath,Leinster,,53.6497514,-6.5884245
Ballinamona Golf Club,Limerick,Munster,,52.661252,-8.6301239
Ballyneety Golf Club,Limerick,Munster,,52.5901619,-8.5558093
Blacklion Golf Club,Cavan,Ulster,,54.2975364,-7.8951273
Ballinamore Golf Club,Leitrim,Connacht,,54.0548633,-7.8337716
Ballyreagh Golf Club,Antrim,Ulster,,54.9463369,-6.3004148
Blackwood - Hamilton Course,Down,Ulster,,53.5980864,-7.3488953
Ballinascorney Golf Club,Dublin,Leinster,,53.2624029,-6.2816402
Balmoral Golf Club,Down,Ulster,,54.4859306,-6.1023098
Blackwood - Temple Course,Down,Ulster,,53.5980864,-7.3488953
Ballinasloe Golf Club,Galway,Connacht,,53.3040981,-8.2311911
Baltinglass Golf Club,Wicklow,Leinster,,52.9401946,-6.7083978
Blainroe Golf Club,Wicklow,Leinster,,52.9466824,-6.025724
Ballinlough Castle Golf Club,Roscommon,Connacht,,53.6312446,-8.19068
Banbridge Golf Club,Down,Ulster,,54.3616905,-6.2904396
Blanchardstown Golf Club,Dublin,Leinster,,53.3844588,-6.3829415
Ballinrobe Golf Club,Mayo,Connacht,,53.6240883,-9.2220833
Bandon Golf Club,Cork,Munster,,51.7393318,-8.7705171
Blarney Golf Club,Cork,Munster,,51.9324626,-8.5680966
Ballybeggan Golf Club,Westmeath,Leinster,,53.5577902,-7.3478558
Bangor Golf Club,Down,Ulster,,54.655939,-5.6516995
Bodenstown - Lady Hill Course,Kildare,Leinster,,53.1568465,-6.9117199
Ballybofey & Stranorlar Golf Club,Donegal,Ulster,,54.7993403,-7.782874
